horizon,forecast_timestamp,block_number,predicted_mcp,zone,confidence,spike_probability,lower_bound,upper_bound,date
232,2026-06-07 05:45:00+05:30,24,5410.67,YELLOW,0.636,0.0997,4599.07,6222.27,2026-06-07
233,2026-06-07 06:00:00+05:30,25,5413.72,YELLOW,0.6362,0.0997,4601.66,6225.78,2026-06-07
234,2026-06-07 06:15:00+05:30,26,5416.76,YELLOW,0.6364,0.0997,4604.25,6229.28,2026-06-07
235,2026-06-07 06:30:00+05:30,27,5419.81,YELLOW,0.6366,0.0997,4606.84,6232.78,2026-06-07
236,2026-06-07 06:45:00+05:30,28,5422.86,YELLOW,0.6368,0.0997,4609.43,6236.28,2026-06-07
237,2026-06-07 07:00:00+05:30,29,5425.9,YELLOW,0.637,0.0997,4612.02,6239.79,2026-06-07
238,2026-06-07 07:15:00+05:30,30,5428.95,YELLOW,0.6372,0.0997,4614.6,6243.29,2026-06-07
239,2026-06-07 07:30:00+05:30,31,5431.99,YELLOW,0.6374,0.0997,4617.19,6246.79,2026-06-07
240,2026-06-07 07:45:00+05:30,32,5435.04,YELLOW,0.6376,0.0997,4619.78,6250.29,2026-06-07
241,2026-06-07 08:00:00+05:30,33,5438.08,YELLOW,0.7335,0.0997,4622.37,6253.8,2026-06-07
242,2026-06-07 08:15:00+05:30,34,5441.13,YELLOW,0.7338,0.0997,4624.96,6257.3,2026-06-07
243,2026-06-07 08:30:00+05:30,35,5444.18,YELLOW,0.734,0.0997,4627.55,6260.8,2026-06-07
244,2026-06-07 08:45:00+05:30,36,5447.22,YELLOW,0.7342,0.0997,4630.14,6264.3,2026-06-07
245,2026-06-07 09:00:00+05:30,37,5450.27,YELLOW,0.7344,0.0997,4632.73,6267.81,2026-06-07
246,2026-06-07 09:15:00+05:30,38,5453.31,YELLOW,0.7347,0.0997,4635.32,6271.31,2026-06-07
247,2026-06-07 09:30:00+05:30,39,5456.36,YELLOW,0.7349,0.0997,4637.91,6274.81,2026-06-07
248,2026-06-07 09:45:00+05:30,40,5459.4,YELLOW,0.7351,0.0997,4640.49,6278.32,2026-06-07
249,2026-06-07 10:00:00+05:30,41,5462.45,YELLOW,0.7354,0.0997,4643.08,6281.82,2026-06-07
250,2026-06-07 10:15:00+05:30,42,5465.5,YELLOW,0.7356,0.0997,4645.67,6285.32,2026-06-07
251,2026-06-07 10:30:00+05:30,43,5468.54,YELLOW,0.7358,0.0997,4648.26,6288.82,2026-06-07
252,2026-06-07 10:45:00+05:30,44,5471.59,YELLOW,0.7361,0.0997,4650.85,6292.33,2026-06-07
253,2026-06-07 11:00:00+05:30,45,5474.63,YELLOW,0.7363,0.0997,4653.44,6295.83,2026-06-07
254,2026-06-07 11:15:00+05:30,46,5477.68,YELLOW,0.7365,0.0997,4656.03,6299.33,2026-06-07
255,2026-06-07 11:30:00+05:30,47,5480.73,YELLOW,0.7368,0.0997,4658.62,6302.83,2026-06-07
256,2026-06-07 11:45:00+05:30,48,5483.77,YELLOW,0.737,0.0997,4661.21,6306.34,2026-06-07
257,2026-06-07 12:00:00+05:30,49,5486.82,YELLOW,0.7372,0.0997,4663.79,6309.84,2026-06-07
258,2026-06-07 12:15:00+05:30,50,5489.86,YELLOW,0.7374,0.0997,4666.38,6313.34,2026-06-07
259,2026-06-07 12:30:00+05:30,51,5492.91,YELLOW,0.7377,0.0997,4668.97,6316.84,2026-06-07
260,2026-06-07 12:45:00+05:30,52,5495.95,YELLOW,0.7379,0.0997,4671.56,6320.35,2026-06-07
261,2026-06-07 13:00:00+05:30,53,5499.0,YELLOW,0.7381,0.0997,4674.15,6323.85,2026-06-07
262,2026-06-07 13:15:00+05:30,54,5502.05,YELLOW,0.7384,0.0997,4676.74,6327.35,2026-06-07
263,2026-06-07 13:30:00+05:30,55,5505.09,YELLOW,0.7386,0.0997,4679.33,6330.86,2026-06-07
264,2026-06-07 13:45:00+05:30,56,5508.14,YELLOW,0.7388,0.0997,4681.92,6334.36,2026-06-07
265,2026-06-07 14:00:00+05:30,57,5511.18,YELLOW,0.739,0.0997,4684.51,6337.86,2026-06-07
266,2026-06-07 14:15:00+05:30,58,5514.23,YELLOW,0.7393,0.0997,4687.09,6341.36,2026-06-07
267,2026-06-07 14:30:00+05:30,59,5517.27,YELLOW,0.7395,0.0997,4689.68,6344.87,2026-06-07
268,2026-06-07 14:45:00+05:30,60,5520.32,YELLOW,0.7397,0.0997,4692.27,6348.37,2026-06-07
269,2026-06-07 15:00:00+05:30,61,5523.37,YELLOW,0.5469,0.0997,4694.86,6351.87,2026-06-07
270,2026-06-07 15:15:00+05:30,62,5526.41,YELLOW,0.5471,0.0997,4697.45,6355.37,2026-06-07
271,2026-06-07 15:30:00+05:30,63,5529.46,YELLOW,0.5473,0.0997,4700.04,6358.88,2026-06-07
272,2026-06-07 15:45:00+05:30,64,5532.5,YELLOW,0.5474,0.0997,4702.63,6362.38,2026-06-07
273,2026-06-07 16:00:00+05:30,65,5535.55,YELLOW,0.5476,0.0997,4705.22,6365.88,2026-06-07
274,2026-06-07 16:15:00+05:30,66,5538.6,YELLOW,0.5478,0.0997,4707.81,6369.38,2026-06-07
275,2026-06-07 16:30:00+05:30,67,5541.64,YELLOW,0.5479,0.0997,4710.39,6372.89,2026-06-07
276,2026-06-07 16:45:00+05:30,68,5544.69,YELLOW,0.4836,0.0997,4712.98,6376.39,2026-06-07
277,2026-06-07 17:00:00+05:30,69,5547.73,YELLOW,0.4838,0.0997,4715.57,6379.89,2026-06-07
278,2026-06-07 17:15:00+05:30,70,5550.78,YELLOW,0.4839,0.0997,4718.16,6383.4,2026-06-07
279,2026-06-07 17:30:00+05:30,71,5553.82,YELLOW,0.484,0.0997,4720.75,6386.9,2026-06-07
280,2026-06-07 17:45:00+05:30,72,5556.87,YELLOW,0.4842,0.0997,4723.34,6390.4,2026-06-07
281,2026-06-07 18:00:00+05:30,73,5559.92,YELLOW,0.4843,0.0997,4725.93,6393.9,2026-06-07
282,2026-06-07 18:15:00+05:30,74,5562.96,YELLOW,0.4845,0.0997,4728.52,6397.41,2026-06-07
283,2026-06-07 18:30:00+05:30,75,5566.01,YELLOW,0.4846,0.0997,4731.11,6400.91,2026-06-07
284,2026-06-07 18:45:00+05:30,76,5569.05,YELLOW,0.4848,0.0997,4733.7,6404.41,2026-06-07
285,2026-06-07 19:00:00+05:30,77,5572.1,YELLOW,0.4849,0.0997,4736.28,6407.91,2026-06-07
286,2026-06-07 19:15:00+05:30,78,5575.14,YELLOW,0.4851,0.0997,4738.87,6411.42,2026-06-07
287,2026-06-07 19:30:00+05:30,79,5578.19,YELLOW,0.4852,0.0997,4741.46,6414.92,2026-06-07
288,2026-06-07 19:45:00+05:30,80,5581.24,YELLOW,0.4853,0.0997,4744.05,6418.42,2026-06-07
289,2026-06-07 20:00:00+05:30,81,5584.28,YELLOW,0.4855,0.0997,4746.64,6421.92,2026-06-07
290,2026-06-07 20:15:00+05:30,82,5587.33,YELLOW,0.4856,0.0997,4749.23,6425.43,2026-06-07
291,2026-06-07 20:30:00+05:30,83,5590.37,YELLOW,0.4858,0.0997,4751.82,6428.93,2026-06-07
292,2026-06-07 20:45:00+05:30,84,5593.42,YELLOW,0.4859,0.0997,4754.41,6432.43,2026-06-07
293,2026-06-07 21:00:00+05:30,85,5596.47,YELLOW,0.4861,0.0997,4757.0,6435.94,2026-06-07
294,2026-06-07 21:15:00+05:30,86,5599.51,YELLOW,0.4862,0.0997,4759.58,6439.44,2026-06-07
295,2026-06-07 21:30:00+05:30,87,5602.56,YELLOW,0.4864,0.0997,4762.17,6442.94,2026-06-07
296,2026-06-07 21:45:00+05:30,88,5605.6,YELLOW,0.4865,0.0997,4764.76,6446.44,2026-06-07
297,2026-06-07 22:00:00+05:30,89,5608.65,YELLOW,0.6489,0.0997,4767.35,6449.95,2026-06-07
298,2026-06-07 22:15:00+05:30,90,5611.69,YELLOW,0.649,0.0997,4769.94,6453.45,2026-06-07
299,2026-06-07 22:30:00+05:30,91,5614.74,YELLOW,0.6492,0.0997,4772.53,6456.95,2026-06-07
300,2026-06-07 22:45:00+05:30,92,5617.79,YELLOW,0.6494,0.0997,4775.12,6460.45,2026-06-07
301,2026-06-07 23:00:00+05:30,93,5620.83,YELLOW,0.6496,0.0997,4777.71,6463.96,2026-06-07
302,2026-06-07 23:15:00+05:30,94,5623.88,YELLOW,0.6498,0.0997,4780.3,6467.46,2026-06-07
303,2026-06-07 23:30:00+05:30,95,5626.92,YELLOW,0.65,0.0997,4782.88,6470.96,2026-06-07
304,2026-06-07 23:45:00+05:30,96,5629.97,YELLOW,0.6502,0.0997,4785.47,6474.46,2026-06-07
305,2026-06-08 00:00:00+05:30,1,5633.01,YELLOW,0.6504,0.0997,4788.06,6477.97,2026-06-08
306,2026-06-08 00:15:00+05:30,2,5636.06,YELLOW,0.6506,0.0997,4790.65,6481.47,2026-06-08
307,2026-06-08 00:30:00+05:30,3,5639.11,YELLOW,0.6508,0.0997,4793.24,6484.97,2026-06-08
308,2026-06-08 00:45:00+05:30,4,5642.15,YELLOW,0.6509,0.0997,4795.83,6488.47,2026-06-08
309,2026-06-08 01:00:00+05:30,5,5645.2,YELLOW,0.6511,0.0997,4798.42,6491.98,2026-06-08
310,2026-06-08 01:15:00+05:30,6,5648.24,YELLOW,0.6513,0.0997,4801.01,6495.48,2026-06-08
311,2026-06-08 01:30:00+05:30,7,5651.29,YELLOW,0.6515,0.0997,4803.6,6498.98,2026-06-08
312,2026-06-08 01:45:00+05:30,8,5654.34,YELLOW,0.6517,0.0997,4806.19,6502.49,2026-06-08
313,2026-06-08 02:00:00+05:30,9,5657.38,YELLOW,0.6519,0.0997,4808.77,6505.99,2026-06-08
314,2026-06-08 02:15:00+05:30,10,5660.43,YELLOW,0.6521,0.0997,4811.36,6509.49,2026-06-08
315,2026-06-08 02:30:00+05:30,11,5663.47,YELLOW,0.6523,0.0997,4813.95,6512.99,2026-06-08
316,2026-06-08 02:45:00+05:30,12,5666.52,YELLOW,0.6524,0.0997,4816.54,6516.5,2026-06-08
317,2026-06-08 03:00:00+05:30,13,5669.56,YELLOW,0.6526,0.0997,4819.13,6520.0,2026-06-08
318,2026-06-08 03:15:00+05:30,14,5672.61,YELLOW,0.6528,0.0997,4821.72,6523.5,2026-06-08
319,2026-06-08 03:30:00+05:30,15,5675.66,YELLOW,0.653,0.0997,4824.31,6527.0,2026-06-08
320,2026-06-08 03:45:00+05:30,16,5678.7,YELLOW,0.6532,0.0997,4826.9,6530.51,2026-06-08
321,2026-06-08 04:00:00+05:30,17,5681.75,YELLOW,0.6534,0.0997,4829.49,6534.01,2026-06-08
322,2026-06-08 04:15:00+05:30,18,5684.79,YELLOW,0.6536,0.0997,4832.07,6537.51,2026-06-08
323,2026-06-08 04:30:00+05:30,19,5687.84,YELLOW,0.6537,0.0997,4834.66,6541.01,2026-06-08
324,2026-06-08 04:45:00+05:30,20,5690.88,YELLOW,0.6539,0.0997,4837.25,6544.52,2026-06-08
325,2026-06-08 05:00:00+05:30,21,5693.93,YELLOW,0.6541,0.0997,4839.84,6548.02,2026-06-08
326,2026-06-08 05:15:00+05:30,22,5696.98,YELLOW,0.6543,0.0997,4842.43,6551.52,2026-06-08
327,2026-06-08 05:30:00+05:30,23,5700.02,YELLOW,0.6545,0.0997,4845.02,6555.03,2026-06-08
328,2026-06-08 05:45:00+05:30,24,5703.07,YELLOW,0.6547,0.0997,4847.61,6558.53,2026-06-08
329,2026-06-08 06:00:00+05:30,25,5706.11,YELLOW,0.6549,0.0997,4850.2,6562.03,2026-06-08
330,2026-06-08 06:15:00+05:30,26,5709.16,YELLOW,0.655,0.0997,4852.79,6565.53,2026-06-08
331,2026-06-08 06:30:00+05:30,27,5712.21,YELLOW,0.6552,0.0997,4855.37,6569.04,2026-06-08
332,2026-06-08 06:45:00+05:30,28,5715.25,YELLOW,0.6554,0.0997,4857.96,6572.54,2026-06-08
333,2026-06-08 07:00:00+05:30,29,5718.3,YELLOW,0.6556,0.0997,4860.55,6576.04,2026-06-08
334,2026-06-08 07:15:00+05:30,30,5721.34,YELLOW,0.6558,0.0997,4863.14,6579.54,2026-06-08
335,2026-06-08 07:30:00+05:30,31,5724.39,YELLOW,0.656,0.0997,4865.73,6583.05,2026-06-08
336,2026-06-08 07:45:00+05:30,32,5727.43,YELLOW,0.6561,0.0997,4868.32,6586.55,2026-06-08
337,2026-06-08 08:00:00+05:30,33,5730.48,YELLOW,0.7548,0.0997,4870.91,6590.05,2026-06-08
338,2026-06-08 08:15:00+05:30,34,5733.53,YELLOW,0.755,0.0997,4873.5,6593.55,2026-06-08
339,2026-06-08 08:30:00+05:30,35,5736.57,YELLOW,0.7552,0.0997,4876.09,6597.06,2026-06-08
340,2026-06-08 08:45:00+05:30,36,5739.62,YELLOW,0.7554,0.0997,4878.67,6600.56,2026-06-08
341,2026-06-08 09:00:00+05:30,37,5742.66,YELLOW,0.7556,0.0997,4881.26,6604.06,2026-06-08
342,2026-06-08 09:15:00+05:30,38,5745.71,YELLOW,0.7558,0.0997,4883.85,6607.57,2026-06-08
343,2026-06-08 09:30:00+05:30,39,5748.75,YELLOW,0.756,0.0997,4886.44,6611.07,2026-06-08
344,2026-06-08 09:45:00+05:30,40,5751.8,YELLOW,0.7562,0.0997,4889.03,6614.57,2026-06-08
345,2026-06-08 10:00:00+05:30,41,5754.85,YELLOW,0.7564,0.0997,4891.62,6618.07,2026-06-08
346,2026-06-08 10:15:00+05:30,42,5757.89,YELLOW,0.7567,0.0997,4894.21,6621.58,2026-06-08
347,2026-06-08 10:30:00+05:30,43,5760.94,YELLOW,0.7569,0.0997,4896.8,6625.08,2026-06-08
348,2026-06-08 10:45:00+05:30,44,5763.98,YELLOW,0.7571,0.0997,4899.39,6628.58,2026-06-08
349,2026-06-08 11:00:00+05:30,45,5767.03,YELLOW,0.7573,0.0997,4901.98,6632.08,2026-06-08
350,2026-06-08 11:15:00+05:30,46,5770.08,YELLOW,0.7575,0.0997,4904.56,6635.59,2026-06-08
351,2026-06-08 11:30:00+05:30,47,5773.12,YELLOW,0.7577,0.0997,4907.15,6639.09,2026-06-08
352,2026-06-08 11:45:00+05:30,48,5776.17,YELLOW,0.7579,0.0997,4909.74,6642.59,2026-06-08
353,2026-06-08 12:00:00+05:30,49,5779.21,YELLOW,0.7581,0.0997,4912.33,6646.09,2026-06-08
354,2026-06-08 12:15:00+05:30,50,5782.26,YELLOW,0.7583,0.0997,4914.92,6649.6,2026-06-08
355,2026-06-08 12:30:00+05:30,51,5785.3,YELLOW,0.7585,0.0997,4917.51,6653.1,2026-06-08
356,2026-06-08 12:45:00+05:30,52,5788.35,YELLOW,0.7587,0.0997,4920.1,6656.6,2026-06-08
357,2026-06-08 13:00:00+05:30,53,5791.4,YELLOW,0.7589,0.0997,4922.69,6660.11,2026-06-08
358,2026-06-08 13:15:00+05:30,54,5794.44,YELLOW,0.7591,0.0997,4925.28,6663.61,2026-06-08
359,2026-06-08 13:30:00+05:30,55,5797.49,YELLOW,0.7593,0.0997,4927.86,6667.11,2026-06-08
360,2026-06-08 13:45:00+05:30,56,5800.53,YELLOW,0.7595,0.0997,4930.45,6670.61,2026-06-08
361,2026-06-08 14:00:00+05:30,57,5803.58,YELLOW,0.7597,0.0997,4933.04,6674.12,2026-06-08
362,2026-06-08 14:15:00+05:30,58,5806.62,YELLOW,0.76,0.0997,4935.63,6677.62,2026-06-08
363,2026-06-08 14:30:00+05:30,59,5809.67,YELLOW,0.7602,0.0997,4938.22,6681.12,2026-06-08
364,2026-06-08 14:45:00+05:30,60,5812.72,YELLOW,0.7604,0.0997,4940.81,6684.62,2026-06-08
365,2026-06-08 15:00:00+05:30,61,5815.76,YELLOW,0.5622,0.0997,4943.4,6688.13,2026-06-08
366,2026-06-08 15:15:00+05:30,62,5818.81,YELLOW,0.5623,0.0997,4945.99,6691.63,2026-06-08
367,2026-06-08 15:30:00+05:30,63,5821.85,YELLOW,0.5625,0.0997,4948.58,6695.13,2026-06-08
368,2026-06-08 15:45:00+05:30,64,5824.9,YELLOW,0.5626,0.0997,4951.16,6698.63,2026-06-08
369,2026-06-08 16:00:00+05:30,65,5827.95,YELLOW,0.5628,0.0997,4953.75,6702.14,2026-06-08
370,2026-06-08 16:15:00+05:30,66,5830.99,YELLOW,0.5629,0.0997,4956.34,6705.64,2026-06-08
371,2026-06-08 16:30:00+05:30,67,5834.04,YELLOW,0.5631,0.0997,4958.93,6709.14,2026-06-08
372,2026-06-08 16:45:00+05:30,68,5837.08,YELLOW,0.4969,0.0997,4961.52,6712.65,2026-06-08
373,2026-06-08 17:00:00+05:30,69,5840.13,YELLOW,0.4971,0.0997,4964.11,6716.15,2026-06-08
374,2026-06-08 17:15:00+05:30,70,5843.17,YELLOW,0.4972,0.0997,4966.7,6719.65,2026-06-08
375,2026-06-08 17:30:00+05:30,71,5846.22,YELLOW,0.4973,0.0997,4969.29,6723.15,2026-06-08
376,2026-06-08 17:45:00+05:30,72,5849.27,YELLOW,0.4975,0.0997,4971.88,6726.66,2026-06-08
377,2026-06-08 18:00:00+05:30,73,5852.31,YELLOW,0.4976,0.0997,4974.46,6730.16,2026-06-08
378,2026-06-08 18:15:00+05:30,74,5855.36,YELLOW,0.4977,0.0997,4977.05,6733.66,2026-06-08
379,2026-06-08 18:30:00+05:30,75,5858.4,YELLOW,0.4979,0.0997,4979.64,6737.16,2026-06-08
380,2026-06-08 18:45:00+05:30,76,5861.45,YELLOW,0.498,0.0997,4982.23,6740.67,2026-06-08
381,2026-06-08 19:00:00+05:30,77,5864.49,YELLOW,0.4981,0.0997,4984.82,6744.17,2026-06-08
382,2026-06-08 19:15:00+05:30,78,5867.54,YELLOW,0.4983,0.0997,4987.41,6747.67,2026-06-08
383,2026-06-08 19:30:00+05:30,79,5870.59,YELLOW,0.4984,0.0997,4990.0,6751.17,2026-06-08
384,2026-06-08 19:45:00+05:30,80,5873.63,YELLOW,0.4985,0.0997,4992.59,6754.68,2026-06-08
385,2026-06-08 20:00:00+05:30,81,5876.68,YELLOW,0.4987,0.0997,4995.18,6758.18,2026-06-08
386,2026-06-08 20:15:00+05:30,82,5879.72,YELLOW,0.4988,0.0997,4997.77,6761.68,2026-06-08
387,2026-06-08 20:30:00+05:30,83,5882.77,YELLOW,0.4989,0.0997,5000.35,6765.18,2026-06-08
388,2026-06-08 20:45:00+05:30,84,5885.82,YELLOW,0.499,0.0997,5002.94,6768.69,2026-06-08
389,2026-06-08 21:00:00+05:30,85,5888.86,YELLOW,0.4992,0.0997,5005.53,6772.19,2026-06-08
390,2026-06-08 21:15:00+05:30,86,5891.91,YELLOW,0.4993,0.0997,5008.12,6775.69,2026-06-08
391,2026-06-08 21:30:00+05:30,87,5894.95,YELLOW,0.4994,0.0997,5010.71,6779.2,2026-06-08
392,2026-06-08 21:45:00+05:30,88,5898.0,YELLOW,0.4996,0.0997,5013.3,6782.7,2026-06-08
393,2026-06-08 22:00:00+05:30,89,5901.04,YELLOW,0.6663,0.0997,5015.89,6786.2,2026-06-08
394,2026-06-08 22:15:00+05:30,90,5904.09,YELLOW,0.6664,0.0997,5018.48,6789.7,2026-06-08
395,2026-06-08 22:30:00+05:30,91,5907.14,YELLOW,0.6666,0.0997,5021.07,6793.21,2026-06-08
396,2026-06-08 22:45:00+05:30,92,5910.18,YELLOW,0.6668,0.0997,5023.65,6796.71,2026-06-08
397,2026-06-08 23:00:00+05:30,93,5913.23,YELLOW,0.6669,0.0997,5026.24,6800.21,2026-06-08
398,2026-06-08 23:15:00+05:30,94,5916.27,YELLOW,0.6671,0.0997,5028.83,6803.71,2026-06-08
399,2026-06-08 23:30:00+05:30,95,5919.32,YELLOW,0.6673,0.0997,5031.42,6807.22,2026-06-08
400,2026-06-08 23:45:00+05:30,96,5922.36,YELLOW,0.6675,0.0997,5034.01,6810.72,2026-06-08
401,2026-06-09 00:00:00+05:30,1,5925.41,YELLOW,0.6676,0.0997,5036.6,6814.22,2026-06-09
402,2026-06-09 00:15:00+05:30,2,5928.46,YELLOW,0.6678,0.0997,5039.19,6817.72,2026-06-09
403,2026-06-09 00:30:00+05:30,3,5931.5,YELLOW,0.668,0.0997,5041.78,6821.23,2026-06-09
404,2026-06-09 00:45:00+05:30,4,5934.55,YELLOW,0.6681,0.0997,5044.37,6824.73,2026-06-09
405,2026-06-09 01:00:00+05:30,5,5937.59,YELLOW,0.6683,0.0997,5046.95,6828.23,2026-06-09
406,2026-06-09 01:15:00+05:30,6,5940.64,YELLOW,0.6685,0.0997,5049.54,6831.74,2026-06-09
407,2026-06-09 01:30:00+05:30,7,5943.69,YELLOW,0.6686,0.0997,5052.13,6835.24,2026-06-09
408,2026-06-09 01:45:00+05:30,8,5946.73,YELLOW,0.6688,0.0997,5054.72,6838.74,2026-06-09
409,2026-06-09 02:00:00+05:30,9,5949.78,YELLOW,0.669,0.0997,5057.31,6842.24,2026-06-09
410,2026-06-09 02:15:00+05:30,10,5952.82,YELLOW,0.6692,0.0997,5059.9,6845.75,2026-06-09
411,2026-06-09 02:30:00+05:30,11,5955.87,YELLOW,0.6693,0.0997,5062.49,6849.25,2026-06-09
412,2026-06-09 02:45:00+05:30,12,5958.91,YELLOW,0.6695,0.0997,5065.08,6852.75,2026-06-09
413,2026-06-09 03:00:00+05:30,13,5961.96,YELLOW,0.6697,0.0997,5067.67,6856.25,2026-06-09
414,2026-06-09 03:15:00+05:30,14,5965.01,YELLOW,0.6698,0.0997,5070.25,6859.76,2026-06-09
415,2026-06-09 03:30:00+05:30,15,5968.05,YELLOW,0.67,0.0997,5072.84,6863.26,2026-06-09
416,2026-06-09 03:45:00+05:30,16,5971.1,YELLOW,0.6702,0.0997,5075.43,6866.76,2026-06-09
417,2026-06-09 04:00:00+05:30,17,5974.14,YELLOW,0.6703,0.0997,5078.02,6870.26,2026-06-09
418,2026-06-09 04:15:00+05:30,18,5977.19,YELLOW,0.6705,0.0997,5080.61,6873.77,2026-06-09
419,2026-06-09 04:30:00+05:30,19,5980.23,YELLOW,0.6707,0.0997,5083.2,6877.27,2026-06-09
420,2026-06-09 04:45:00+05:30,20,5983.28,YELLOW,0.6708,0.0997,5085.79,6880.77,2026-06-09
421,2026-06-09 05:00:00+05:30,21,5986.33,YELLOW,0.671,0.0997,5088.38,6884.28,2026-06-09
422,2026-06-09 05:15:00+05:30,22,5989.37,YELLOW,0.6712,0.0997,5090.97,6887.78,2026-06-09
423,2026-06-09 05:30:00+05:30,23,5992.42,YELLOW,0.6713,0.0997,5093.56,6891.28,2026-06-09
424,2026-06-09 05:45:00+05:30,24,5995.46,YELLOW,0.6715,0.0997,5096.14,6894.78,2026-06-09
425,2026-06-09 06:00:00+05:30,25,5998.51,YELLOW,0.6717,0.0997,5098.73,6898.29,2026-06-09
426,2026-06-09 06:15:00+05:30,26,6001.56,RED,0.6718,0.0997,5101.32,6901.79,2026-06-09
427,2026-06-09 06:30:00+05:30,27,6004.6,RED,0.672,0.0997,5103.91,6905.29,2026-06-09
428,2026-06-09 06:45:00+05:30,28,6007.65,RED,0.6722,0.0997,5106.5,6908.79,2026-06-09
429,2026-06-09 07:00:00+05:30,29,6010.69,RED,0.6723,0.0997,5109.09,6912.3,2026-06-09
430,2026-06-09 07:15:00+05:30,30,6013.74,RED,0.6725,0.0997,5111.68,6915.8,2026-06-09
431,2026-06-09 07:30:00+05:30,31,6016.78,RED,0.6727,0.0997,5114.27,6919.3,2026-06-09
432,2026-06-09 07:45:00+05:30,32,6019.83,RED,0.6728,0.0997,5116.86,6922.8,2026-06-09
433,2026-06-09 08:00:00+05:30,33,6022.88,RED,0.7017,0.0997,5119.44,6926.31,2026-06-09
434,2026-06-09 08:15:00+05:30,34,6025.92,RED,0.702,0.0997,5122.03,6929.81,2026-06-09
435,2026-06-09 08:30:00+05:30,35,6028.97,RED,0.7022,0.0997,5124.62,6933.31,2026-06-09
436,2026-06-09 08:45:00+05:30,36,6032.01,RED,0.7024,0.0997,5127.21,6936.82,2026-06-09
437,2026-06-09 09:00:00+05:30,37,6035.06,RED,0.7026,0.0997,5129.8,6940.32,2026-06-09
438,2026-06-09 09:15:00+05:30,38,6038.1,RED,0.7029,0.0997,5132.39,6943.82,2026-06-09
439,2026-06-09 09:30:00+05:30,39,6041.15,RED,0.7031,0.0997,5134.98,6947.32,2026-06-09
440,2026-06-09 09:45:00+05:30,40,6044.2,RED,0.7033,0.0997,5137.57,6950.83,2026-06-09
441,2026-06-09 10:00:00+05:30,41,6047.24,RED,0.7035,0.0997,5140.16,6954.33,2026-06-09
442,2026-06-09 10:15:00+05:30,42,6050.29,RED,0.7038,0.0997,5142.74,6957.83,2026-06-09
443,2026-06-09 10:30:00+05:30,43,6053.33,RED,0.704,0.0997,5145.33,6961.33,2026-06-09
444,2026-06-09 10:45:00+05:30,44,6056.38,RED,0.7042,0.0997,5147.92,6964.84,2026-06-09
445,2026-06-09 11:00:00+05:30,45,6059.43,RED,0.7044,0.0997,5150.51,6968.34,2026-06-09
446,2026-06-09 11:15:00+05:30,46,6062.47,RED,0.7047,0.0997,5153.1,6971.84,2026-06-09
447,2026-06-09 11:30:00+05:30,47,6065.52,RED,0.7049,0.0997,5155.69,6975.34,2026-06-09
448,2026-06-09 11:45:00+05:30,48,6068.56,RED,0.7051,0.0997,5158.28,6978.85,2026-06-09
449,2026-06-09 12:00:00+05:30,49,6071.61,RED,0.7053,0.0997,5160.87,6982.35,2026-06-09
450,2026-06-09 12:15:00+05:30,50,6074.65,RED,0.7056,0.0997,5163.46,6985.85,2026-06-09
451,2026-06-09 12:30:00+05:30,51,6077.7,RED,0.7058,0.0997,5166.05,6989.36,2026-06-09
452,2026-06-09 12:45:00+05:30,52,6080.75,RED,0.706,0.0997,5168.63,6992.86,2026-06-09
453,2026-06-09 13:00:00+05:30,53,6083.79,RED,0.7062,0.0997,5171.22,6996.36,2026-06-09
454,2026-06-09 13:15:00+05:30,54,6086.84,RED,0.7065,0.0997,5173.81,6999.86,2026-06-09
455,2026-06-09 13:30:00+05:30,55,6089.88,RED,0.7067,0.0997,5176.4,7003.37,2026-06-09
456,2026-06-09 13:45:00+05:30,56,6092.93,RED,0.7069,0.0997,5178.99,7006.87,2026-06-09
457,2026-06-09 14:00:00+05:30,57,6095.97,RED,0.7071,0.0997,5181.58,7010.37,2026-06-09
458,2026-06-09 14:15:00+05:30,58,6099.02,RED,0.7073,0.0997,5184.17,7013.87,2026-06-09
459,2026-06-09 14:30:00+05:30,59,6102.07,RED,0.7076,0.0997,5186.76,7017.38,2026-06-09
460,2026-06-09 14:45:00+05:30,60,6105.11,RED,0.7078,0.0997,5189.35,7020.88,2026-06-09
461,2026-06-09 15:00:00+05:30,61,6108.16,RED,0.5233,0.0997,5191.93,7024.38,2026-06-09
462,2026-06-09 15:15:00+05:30,62,6111.2,RED,0.5235,0.0997,5194.52,7027.88,2026-06-09
463,2026-06-09 15:30:00+05:30,63,6114.25,RED,0.5236,0.0997,5197.11,7031.39,2026-06-09
464,2026-06-09 15:45:00+05:30,64,6117.3,RED,0.5238,0.0997,5199.7,7034.89,2026-06-09
465,2026-06-09 16:00:00+05:30,65,6120.34,RED,0.524,0.0997,5202.29,7038.39,2026-06-09
466,2026-06-09 16:15:00+05:30,66,6123.39,RED,0.5241,0.0997,5204.88,7041.89,2026-06-09
467,2026-06-09 16:30:00+05:30,67,6126.43,RED,0.5243,0.0997,5207.47,7045.4,2026-06-09
468,2026-06-09 16:45:00+05:30,68,6129.48,RED,0.4627,0.0997,5210.06,7048.9,2026-06-09
469,2026-06-09 17:00:00+05:30,69,6132.52,RED,0.4629,0.0997,5212.65,7052.4,2026-06-09
470,2026-06-09 17:15:00+05:30,70,6135.57,RED,0.463,0.0997,5215.23,7055.91,2026-06-09
